student_id,segment_id,high_anxiety_risk_real,high_anxiety_risk_predicted,risk_score,risk_score_level,analysis_date
1,0,0,0,0.4658496979170898,Medio,2026-05-09
2,1,0,1,0.5270209100353195,Medio,2026-05-09
3,2,0,0,0.3955264477294345,Bajo,2026-05-09
4,6,1,0,0.4540938650347542,Medio,2026-05-09
5,5,0,0,0.484133822768042,Medio,2026-05-09
6,1,0,1,0.5740547834565709,Medio,2026-05-09
7,0,0,0,0.49936087654862704,Medio,2026-05-09
8,5,1,1,0.5542608247390678,Medio,2026-05-09
9,5,1,1,0.610923134706047,Medio,2026-05-09
10,2,0,0,0.42426185123179566,Medio,2026-05-09
11,1,1,1,0.5617415345933676,Medio,2026-05-09
12,3,1,1,0.5530903437891124,Medio,2026-05-09
13,4,1,0,0.48952354861916253,Medio,2026-05-09
14,3,1,1,0.5321718321809203,Medio,2026-05-09
15,2,1,1,0.5223598241651406,Medio,2026-05-09
16,2,1,1,0.636243201798083,Medio,2026-05-09
17,5,0,1,0.5184799073868344,Medio,2026-05-09
18,3,1,1,0.6253853240372631,Medio,2026-05-09
19,4,1,1,0.5664403596952556,Medio,2026-05-09
20,3,0,0,0.36183816437768995,Bajo,2026-05-09
21,5,0,1,0.5330859736302842,Medio,2026-05-09
22,1,0,0,0.4268748751773904,Medio,2026-05-09
23,2,0,0,0.461572068233636,Medio,2026-05-09
24,3,1,1,0.5630234003210572,Medio,2026-05-09
25,5,1,1,0.6019221350155872,Medio,2026-05-09
26,0,0,0,0.4420327940583909,Medio,2026-05-09
27,6,1,1,0.6361535649595819,Medio,2026-05-09
28,3,0,1,0.5097566907816808,Medio,2026-05-09
29,5,1,1,0.5358235689952929,Medio,2026-05-09
30,3,0,0,0.429112825585589,Medio,2026-05-09
31,1,0,0,0.41167021477279897,Medio,2026-05-09
32,0,0,0,0.4479847641373134,Medio,2026-05-09
33,5,1,1,0.5497821822435275,Medio,2026-05-09
34,0,0,0,0.4285954887367479,Medio,2026-05-09
35,2,0,0,0.41228378413186256,Medio,2026-05-09
36,5,0,0,0.46122067925446203,Medio,2026-05-09
37,3,1,1,0.5462484665657086,Medio,2026-05-09
38,5,1,1,0.5950019586927984,Medio,2026-05-09
39,3,1,1,0.6446996721286805,Medio,2026-05-09
40,5,1,1,0.5895336151746119,Medio,2026-05-09
41,4,0,0,0.4729881535005471,Medio,2026-05-09
42,0,0,0,0.4199774505788051,Medio,2026-05-09
43,1,0,0,0.42501627152863264,Medio,2026-05-09
44,3,0,0,0.39417195588547144,Bajo,2026-05-09
45,1,0,0,0.38430140391640444,Bajo,2026-05-09
46,5,0,0,0.46587935857530377,Medio,2026-05-09
47,6,1,1,0.6290257193264686,Medio,2026-05-09
48,3,0,0,0.4165645450042637,Medio,2026-05-09
49,3,0,0,0.4606519917380291,Medio,2026-05-09
50,3,1,1,0.528375065338218,Medio,2026-05-09
51,2,0,0,0.3553658940398175,Bajo,2026-05-09
52,2,1,0,0.43883219631746195,Medio,2026-05-09
53,5,1,1,0.5656781830283579,Medio,2026-05-09
54,0,0,0,0.423035344386208,Medio,2026-05-09
55,1,0,0,0.4405657710288363,Medio,2026-05-09
56,6,0,1,0.538545195708299,Medio,2026-05-09
57,4,1,1,0.530780843030304,Medio,2026-05-09
58,1,0,0,0.46088621510775435,Medio,2026-05-09
59,4,0,0,0.43821241155463947,Medio,2026-05-09
60,1,0,1,0.5478807399358383,Medio,2026-05-09
61,5,1,1,0.534261321926406,Medio,2026-05-09
62,2,0,0,0.4121573957544441,Medio,2026-05-09
63,2,0,0,0.407908628808149,Medio,2026-05-09
64,3,1,1,0.5373256356895315,Medio,2026-05-09
65,1,0,0,0.49343593768010213,Medio,2026-05-09
66,3,1,1,0.5606641304407659,Medio,2026-05-09
67,6,1,1,0.5439073400933156,Medio,2026-05-09
68,6,0,0,0.4738182496252349,Medio,2026-05-09
69,1,0,0,0.420475301121518,Medio,2026-05-09
70,1,0,0,0.4421805356602009,Medio,2026-05-09
71,0,0,0,0.34498772715443743,Bajo,2026-05-09
72,2,1,0,0.4347067686795781,Medio,2026-05-09
73,6,1,1,0.6132630109528785,Medio,2026-05-09
74,0,0,0,0.4383182827099872,Medio,2026-05-09
75,2,0,0,0.3500231354710141,Bajo,2026-05-09
76,6,1,1,0.6589469644424178,Medio,2026-05-09
77,5,0,0,0.4425247252947265,Medio,2026-05-09
78,2,0,0,0.34285101518239713,Bajo,2026-05-09
79,2,0,0,0.37754210569636726,Bajo,2026-05-09
80,0,0,0,0.4029589036232174,Medio,2026-05-09
81,0,0,0,0.46615955058202196,Medio,2026-05-09
82,0,0,0,0.4725986945339503,Medio,2026-05-09
83,5,1,0,0.4732990848017283,Medio,2026-05-09
84,4,0,0,0.4726916295494828,Medio,2026-05-09
85,0,0,0,0.4060693973444788,Medio,2026-05-09
86,6,1,0,0.45529603247043765,Medio,2026-05-09
87,2,0,0,0.45518793277353564,Medio,2026-05-09
88,4,1,0,0.48433918708411866,Medio,2026-05-09
89,1,0,0,0.46707047007634694,Medio,2026-05-09
90,4,1,1,0.5254044092283864,Medio,2026-05-09
91,1,0,0,0.3847611706812377,Bajo,2026-05-09
92,2,0,0,0.3979506536816749,Bajo,2026-05-09
93,1,0,0,0.4070289600258081,Medio,2026-05-09
94,5,1,0,0.48850902785562317,Medio,2026-05-09
95,1,0,0,0.41699387398034843,Medio,2026-05-09
96,5,0,0,0.43251522729484515,Medio,2026-05-09
97,2,0,0,0.33106698935993856,Bajo,2026-05-09
98,5,0,0,0.4294330251151344,Medio,2026-05-09
99,1,0,0,0.376438476041799,Bajo,2026-05-09
100,2,0,0,0.4858974044170196,Medio,2026-05-09
101,1,0,0,0.3839327796932627,Bajo,2026-05-09
102,3,1,1,0.5002298104471036,Medio,2026-05-09
103,3,0,0,0.44232109547355525,Medio,2026-05-09
104,4,1,0,0.43691948047154194,Medio,2026-05-09
105,3,0,0,0.39780643753828765,Bajo,2026-05-09
106,3,0,0,0.3494489718670538,Bajo,2026-05-09
107,3,0,0,0.38437771705886653,Bajo,2026-05-09
108,3,1,1,0.5037201049845513,Medio,2026-05-09
109,3,0,0,0.4693254999817404,Medio,2026-05-09
110,6,1,1,0.5492933587107819,Medio,2026-05-09
111,6,0,0,0.4126237972540989,Medio,2026-05-09
112,1,0,1,0.5025175672999017,Medio,2026-05-09
113,0,0,0,0.42040373448018464,Medio,2026-05-09
114,3,0,0,0.40030061499413355,Medio,2026-05-09
115,4,1,1,0.5110455763610172,Medio,2026-05-09
116,0,0,0,0.4996319765796269,Medio,2026-05-09
117,4,0,0,0.343159887916203,Bajo,2026-05-09
118,4,1,1,0.538873016057738,Medio,2026-05-09
119,1,1,1,0.554867592938457,Medio,2026-05-09
120,5,0,0,0.4191915472643952,Medio,2026-05-09
121,2,0,0,0.37631512645920606,Bajo,2026-05-09
122,6,1,1,0.6088404265812268,Medio,2026-05-09
123,6,1,1,0.5159508674266761,Medio,2026-05-09
124,0,0,0,0.3703075235372072,Bajo,2026-05-09
125,5,1,1,0.5174111729954448,Medio,2026-05-09
126,6,1,1,0.5938013198638884,Medio,2026-05-09
127,2,0,0,0.4481172247136479,Medio,2026-05-09
128,0,0,0,0.4477682073272787,Medio,2026-05-09
129,5,1,1,0.588347192240872,Medio,2026-05-09
130,6,1,1,0.522491485213219,Medio,2026-05-09
131,0,0,0,0.36828708828833484,Bajo,2026-05-09
132,1,0,0,0.42057300185152047,Medio,2026-05-09
133,1,0,0,0.4008855385072364,Medio,2026-05-09
134,2,0,0,0.395895276748479,Bajo,2026-05-09
135,0,0,0,0.4702200709945871,Medio,2026-05-09
136,1,0,0,0.416670357752938,Medio,2026-05-09
137,0,0,0,0.3605588306850674,Bajo,2026-05-09
138,3,0,0,0.4500623343347419,Medio,2026-05-09
139,2,0,0,0.3762795420679095,Bajo,2026-05-09
140,5,1,0,0.4405625257234502,Medio,2026-05-09
141,0,0,0,0.48746437515870644,Medio,2026-05-09
142,5,0,0,0.41528328209002896,Medio,2026-05-09
143,2,0,0,0.44166478323756303,Medio,2026-05-09
144,5,0,1,0.5335942607318686,Medio,2026-05-09
145,3,0,1,0.5191261584542572,Medio,2026-05-09
146,3,0,0,0.45167356006945397,Medio,2026-05-09
147,3,0,0,0.3988149478790193,Bajo,2026-05-09
148,3,0,0,0.4175080958033525,Medio,2026-05-09
149,6,1,1,0.6267535104564912,Medio,2026-05-09
150,3,1,0,0.3587859190320993,Bajo,2026-05-09
151,0,0,1,0.5030726293318835,Medio,2026-05-09
152,0,0,1,0.5174264408228018,Medio,2026-05-09
153,2,1,1,0.5070329473443426,Medio,2026-05-09
154,4,0,1,0.5133941161567488,Medio,2026-05-09
155,4,0,0,0.38136116409410126,Bajo,2026-05-09
156,4,1,1,0.5725894960838186,Medio,2026-05-09
157,5,1,1,0.6194998902152371,Medio,2026-05-09
158,0,0,0,0.3526591772953159,Bajo,2026-05-09
159,6,1,1,0.6456481871360858,Medio,2026-05-09
160,4,1,1,0.5175159583810904,Medio,2026-05-09
161,6,1,0,0.4821116419117456,Medio,2026-05-09
162,0,0,0,0.4689842646288136,Medio,2026-05-09
163,5,0,0,0.4262188673047712,Medio,2026-05-09
164,4,1,1,0.5886392838377031,Medio,2026-05-09
165,1,0,0,0.37503500177574894,Bajo,2026-05-09
166,1,0,1,0.6122758055997698,Medio,2026-05-09
167,1,0,0,0.4967484699237374,Medio,2026-05-09
168,6,1,1,0.652454106690621,Medio,2026-05-09
169,2,0,0,0.406884966416534,Medio,2026-05-09
170,1,1,0,0.4563457396222358,Medio,2026-05-09
171,0,0,0,0.3921973614837199,Bajo,2026-05-09
172,3,1,0,0.4927985378318833,Medio,2026-05-09
173,3,0,0,0.3755873966116831,Bajo,2026-05-09
174,0,0,0,0.4223820936029843,Medio,2026-05-09
175,5,1,1,0.5689648211153989,Medio,2026-05-09
176,1,0,0,0.47404657483799406,Medio,2026-05-09
177,4,0,0,0.4397175468450134,Medio,2026-05-09
178,6,1,1,0.5492604735686829,Medio,2026-05-09
179,6,1,1,0.5773137593247634,Medio,2026-05-09
180,3,1,1,0.55764781756443,Medio,2026-05-09
181,1,1,1,0.5726162591160919,Medio,2026-05-09
182,1,0,0,0.4028123565629879,Medio,2026-05-09
